1|15134|182|13|
1|6351|893|66|
1|5290|739|55|
1|17571|215|16|
1|5480|690|51|
1|2041|661|49|
1|12402|509|38|
1|2813|804|60|
1|3500|414|31|
2|9743|21|1|
2|16905|860|64|
2|13305|816|61|
2|12504|209|15|
2|2633|86|6|
2|4969|138|10|
2|379|237|17|
2|17776|363|27|
2|14206|273|20|
3|4664|496|37|
3|11850|433|32|
3|13635|225|16|
3|16694|876|65|
3|12607|865|64|
3|9591|724|54|
3|9243|405|30|
3|11658|170|12|
3|11520|304|22|
4|17862|786|58|
4|14763|309|23|
4|13929|386|28|
4|8956|690|51|
4|18441|839|62|
4|9813|657|49|
4|10960|657|49|
4|10748|662|49|
4|5797|408|30|
5|15202|809|60|
5|3918|234|17|
5|9476|602|45|
5|4748|882|66|
5|15497|832|62|
5|14018|889|66|
5|11037|535|40|
5|4319|787|59|
5|2853|740|55|
6|4664|377|28|
6|7959|308|23|
6|8215|553|41|
6|17134|1|1|
6|8398|204|15|
6|6616|89|6|
6|3923|244|18|
6|2791|578|43|
6|5833|848|63|
7|5017|242|18|
7|16032|705|52|
7|14991|898|67|
7|3411|732|54|
7|12887|493|36|
7|16752|643|48|
7|8941|305|22|
7|2282|295|22|
7|10307|735|55|
8|2595|194|14|
8|6614|250|18|
8|11693|794|59|
8|6834|897|67|
8|11258|50|3|
8|3451|380|28|
8|11425|511|38|
8|15956|221|16|
8|5679|624|46|
9|15977|807|60|
9|12491|68|5|
9|3423|877|65|
9|4416|469|35|
9|13797|71|5|
9|11181|223|16|
9|17350|898|67|
9|14916|575|43|
9|14446|14|1|
10|11597|848|63|
10|3943|669|50|
10|6357|642|48|
10|14132|342|25|
10|17540|393|29|
10|13944|785|58|
10|8546|670|50|
10|14524|443|33|
10|2711|718|53|
11|1213|759|56|
11|16817|787|59|
11|479|787|59|
11|7060|258|19|
11|1460|828|62|
11|16122|585|43|
11|11004|81|6|
11|9975|99|7|
11|9044|786|58|
12|18225|497|37|
12|4|59|4|
12|5177|489|36|
12|8471|153|11|
12|15446|849|63|
12|4210|851|63|
12|7199|674|50|
12|13904|667|50|
12|7435|41|3|
13|1426|535|40|
13|17834|368|27|
13|12847|472|35|
13|13565|863|64|
13|11388|184|13|
13|13875|567|42|
13|10577|770|57|
13|1680|230|17|
13|1911|120|9|
14|6996|397|29|
14|3998|383|28|
14|18271|136|10|
14|13945|900|67|
14|6112|550|41|
14|10498|884|66|
14|14469|745|55|
14|121|260|19|
14|4135|398|29|
15|17104|131|9|
15|18484|30|2|
15|15068|154|11|
15|7400|597|44|
15|8685|662|49|
15|1791|631|47|
